,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
287,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Master,Life Sciences,Very High,Male,High,High,2,Healthcare Representative,High,Divorced,High,High,9,No,Average,Excellent,Medium,1,7 to 10 years,2,Better,<= 3 years,<= 2 years,1 year,<= 2 years
288,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Very Long,Master,Medical,Low,Male,Low,High,1,Laboratory Technician,High,Divorced,Low,Average,2,Yes,Average,Excellent,Very High,1,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
289,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,College,Life Sciences,Very High,Female,Average,High,1,Research Scientist,High,Single,Average,Low,1,No,Very High,Outstanding,Very High,0,<= 6 years,3,Better,4 to 5 years,3 years,None,<= 2 years
290,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Master,Life Sciences,High,Female,Low,High,5,Research Director,High,Single,Very High,Very High,9,Yes,Low,Excellent,Very High,0,Over 15 years,4,Better,<= 3 years,<= 2 years,1 year,<= 2 years
291,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Technical Degree,High,Male,Low,High,2,Research Scientist,High,Single,Average,Very High,4,No,Low,Excellent,Very High,0,7 to 10 years,2,Better,6 to 9 years,<= 2 years,Over 3 years,4 to 7 years
292,Middle-Age,No,Travel_Frequently,Very High,Sales,Normal,Bachelor,Marketing,Very High,Female,Very High,High,1,Sales Representative,High,Divorced,Low,Low,1,No,Low,Excellent,High,1,<= 6 years,5,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
293,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Normal,Master,Marketing,Very High,Male,Low,Medium,2,Sales Executive,Medium,Single,High,Average,1,Yes,Low,Excellent,Medium,0,7 to 10 years,0,Better,6 to 9 years,4 to 7 years,Over 3 years,Over 7 years
294,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Bachelor,Medical,Medium,Male,Average,High,1,Research Scientist,High,Married,Low,Average,1,Yes,Low,Excellent,High,3,<= 6 years,3,Good,4 to 5 years,<= 2 years,1 year,<= 2 years
295,Middle-Age,No,Travel_Frequently,Very High,Sales,Very Long,Bachelor,Marketing,High,Female,High,High,4,Sales Executive,High,Married,Very High,High,5,No,Average,Excellent,Very High,1,Over 15 years,2,Best,Over 9 years,4 to 7 years,Over 3 years,Over 7 years
296,Young,Yes,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,High,Male,Average,High,1,Laboratory Technician,High,Single,Low,Very High,1,No,Average,Excellent,High,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
297,Middle-Age,No,Travel_Rarely,Very High,Sales,Very Long,Bachelor,Marketing,High,Male,Very High,High,3,Sales Executive,High,Married,High,Low,0,No,High,Excellent,High,2,11 to 15 years,3,Good,Over 9 years,Over 7 years,Over 3 years,Over 7 years
298,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Very Long,Master,Life Sciences,High,Male,High,Very High,1,Laboratory Technician,Very High,Married,Average,Low,4,No,High,Excellent,Very High,2,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
299,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,Very High,Male,Very High,Low,2,Manufacturing Director,Low,Divorced,High,High,5,No,High,Excellent,Very High,1,11 to 15 years,3,Better,4 to 5 years,<= 2 years,1 year,<= 2 years
300,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Master,Life Sciences,Very High,Male,Very High,High,4,Manager,High,Single,Very High,High,1,No,Very High,Excellent,Medium,0,Over 15 years,2,Better,Over 9 years,Over 7 years,None,Over 7 years
301,Young,No,Travel_Rarely,Very High,Sales,Long,Bachelor,Medical,Very High,Female,High,Medium,1,Sales Representative,Medium,Single,Low,Average,1,No,Low,Excellent,Low,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
302,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Medical,Medium,Male,High,Very High,2,Healthcare Representative,Very High,Single,High,Low,0,No,Very High,Excellent,High,0,7 to 10 years,2,Better,6 to 9 years,3 years,None,4 to 7 years
303,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,Bachelor,Technical Degree,Medium,Male,Very High,Very High,2,Sales Executive,Very High,Married,High,Average,4,No,Low,Excellent,Medium,1,7 to 10 years,3,Good,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
304,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,High,Male,Low,Very High,3,Healthcare Representative,Very High,Divorced,Very High,Average,0,No,High,Excellent,Low,3,Over 15 years,5,Good,Over 9 years,Over 7 years,2 to 3 years,4 to 7 years
305,Middle-Age,No,Non-Travel,Very High,Research & Development,Very Long,Master,Life Sciences,Medium,Female,Low,High,2,Laboratory Technician,High,Married,High,Low,7,No,High,Excellent,High,1,11 to 15 years,3,Better,6 to 9 years,Over 7 years,None,Over 7 years
306,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,Bachelor,Life Sciences,Very High,Male,Very High,Medium,2,Sales Executive,Medium,Married,High,High,1,No,Average,Excellent,High,1,11 to 15 years,3,Good,Over 9 years,Over 7 years,Over 3 years,Over 7 years
307,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Life Sciences,Low,Female,High,Medium,3,Research Director,Medium,Married,Very High,Very High,3,No,High,Excellent,High,1,Over 15 years,2,Better,Over 9 years,Over 7 years,None,<= 2 years
308,Old,No,Non-Travel,Very High,Research & Development,Short,Master,Life Sciences,Very High,Male,Low,Low,2,Healthcare Representative,Low,Divorced,High,High,2,Yes,Average,Excellent,Very High,1,11 to 15 years,2,Better,4 to 5 years,3 years,1 year,<= 2 years
309,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Technical Degree,High,Male,Very High,High,1,Research Scientist,High,Married,Average,Average,0,Yes,Low,Excellent,High,1,<= 6 years,4,Better,4 to 5 years,<= 2 years,None,3 years
310,Middle-Age,No,Travel_Rarely,Very High,Human Resources,Short,Bachelor,Human Resources,Low,Male,Average,Medium,2,Human Resources,Medium,Married,High,High,3,No,Low,Excellent,Very High,0,7 to 10 years,1,Better,<= 3 years,<= 2 years,1 year,<= 2 years
311,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Normal,Bachelor,Life Sciences,Low,Male,Very High,High,3,Laboratory Technician,High,Divorced,High,High,1,No,High,Excellent,Low,1,Over 15 years,2,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
312,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Life Sciences,High,Male,Low,High,1,Research Scientist,High,Divorced,Low,Low,0,Yes,High,Excellent,Medium,1,<= 6 years,2,Bad,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
313,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Normal,Master,Life Sciences,Very High,Female,High,High,3,Manager,High,Married,Very High,Very High,6,No,Low,Excellent,Medium,2,11 to 15 years,2,Better,Over 9 years,4 to 7 years,Over 3 years,Over 7 years
314,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Below College,Medical,High,Male,Very High,High,4,Manager,High,Married,Very High,Low,1,Yes,Average,Excellent,Very High,0,Over 15 years,3,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
315,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Master,Life Sciences,High,Female,Low,High,1,Laboratory Technician,High,Single,Low,Average,0,No,Very High,Excellent,Low,0,7 to 10 years,5,Better,6 to 9 years,4 to 7 years,1 year,4 to 7 years
316,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,College,Technical Degree,High,Female,Very High,Medium,4,Healthcare Representative,Medium,Single,Very High,High,7,Yes,Low,Excellent,Very High,0,Over 15 years,2,Better,6 to 9 years,<= 2 years,None,4 to 7 years
317,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Long,Master,Medical,High,Male,Very High,Medium,2,Research Scientist,Medium,Married,High,High,2,No,High,Excellent,Low,0,11 to 15 years,3,Good,6 to 9 years,<= 2 years,Over 3 years,4 to 7 years
318,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,High,Female,Very High,High,1,Research Scientist,High,Single,Low,Very High,1,Yes,Low,Excellent,Medium,0,<= 6 years,2,Good,4 to 5 years,3 years,1 year,<= 2 years
319,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,College,Technical Degree,High,Female,Average,Medium,2,Sales Executive,Medium,Married,High,Very High,1,Yes,Low,Excellent,Very High,0,11 to 15 years,2,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
320,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Bachelor,Life Sciences,Very High,Male,High,High,2,Sales Executive,High,Single,Average,Low,1,Yes,Low,Excellent,Low,0,<= 6 years,3,Better,4 to 5 years,4 to 7 years,None,Over 7 years
321,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,Bachelor,Marketing,Very High,Male,High,High,2,Sales Executive,High,Divorced,High,Low,4,No,Low,Excellent,Very High,3,11 to 15 years,3,Better,6 to 9 years,4 to 7 years,1 year,4 to 7 years
322,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Medical,Low,Female,High,Very High,2,Research Scientist,Very High,Single,High,Average,7,No,High,Excellent,High,0,7 to 10 years,0,Good,6 to 9 years,4 to 7 years,None,4 to 7 years
323,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Short,Master,Medical,Low,Male,Very High,Low,1,Research Scientist,Low,Married,Average,Very High,5,Yes,Average,Excellent,Very High,0,<= 6 years,4,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
324,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Medical,Very High,Female,Average,High,2,Research Scientist,High,Married,High,Average,1,No,Average,Excellent,Very High,2,11 to 15 years,2,Better,Over 9 years,Over 7 years,1 year,Over 7 years
325,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Normal,College,Life Sciences,High,Female,Low,Medium,3,Manufacturing Director,Medium,Married,Very High,Average,1,No,Very High,Outstanding,Low,1,7 to 10 years,2,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
326,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Normal,College,Medical,High,Male,Average,Medium,5,Manager,Medium,Married,Very High,Very High,1,No,High,Excellent,Low,1,Over 15 years,2,Better,Over 9 years,Over 7 years,Over 3 years,3 years
327,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Normal,College,Medical,Very High,Female,Low,High,2,Sales Executive,High,Married,High,High,4,Yes,High,Excellent,Low,0,11 to 15 years,3,Good,<= 3 years,<= 2 years,None,<= 2 years
328,Middle-Age,No,Travel_Frequently,Very High,Sales,Long,Bachelor,Marketing,Medium,Male,Low,Medium,2,Sales Executive,Medium,Single,Average,Low,3,No,Average,Excellent,High,0,7 to 10 years,6,Good,6 to 9 years,4 to 7 years,None,<= 2 years
329,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Doctor,Life Sciences,Very High,Male,Low,High,5,Research Director,High,Married,Very High,High,4,No,Low,Excellent,Medium,1,Over 15 years,2,Better,<= 3 years,<= 2 years,1 year,<= 2 years
330,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Master,Life Sciences,High,Female,High,Medium,2,Laboratory Technician,Medium,Divorced,High,Low,1,No,Low,Excellent,Medium,1,7 to 10 years,3,Best,6 to 9 years,4 to 7 years,None,<= 2 years
331,Middle-Age,No,Non-Travel,Very High,Sales,Short,Below College,Marketing,High,Male,High,High,2,Sales Executive,High,Married,High,Very High,0,Yes,Average,Excellent,Very High,1,<= 6 years,0,Better,4 to 5 years,4 to 7 years,1 year,Over 7 years
332,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Very Long,Master,Life Sciences,Very High,Female,Low,High,2,Research Scientist,High,Single,Average,High,3,No,Low,Excellent,Very High,0,Over 15 years,4,Good,4 to 5 years,3 years,None,3 years
333,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Life Sciences,High,Female,Low,High,3,Healthcare Representative,High,Married,Very High,Average,8,No,High,Excellent,Low,1,7 to 10 years,1,Good,<= 3 years,<= 2 years,None,<= 2 years
334,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Other,Very High,Male,High,High,2,Research Scientist,High,Married,Average,Average,9,No,Average,Excellent,Low,2,11 to 15 years,3,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
335,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,College,Medical,Medium,Male,Average,Low,2,Sales Executive,Low,Married,High,Average,2,Yes,Very High,Outstanding,High,3,<= 6 years,2,Good,4 to 5 years,3 years,None,<= 2 years
336,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Long,Master,Other,Medium,Male,High,Low,1,Laboratory Technician,Low,Married,Low,Low,1,Yes,Low,Excellent,Very High,0,7 to 10 years,4,Good,6 to 9 years,4 to 7 years,None,4 to 7 years
337,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Doctor,Other,Medium,Male,Low,Medium,1,Laboratory Technician,Medium,Single,Average,Low,0,No,High,Excellent,High,0,<= 6 years,2,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
338,Middle-Age,No,Travel_Rarely,Very High,Sales,Normal,Bachelor,Marketing,Very High,Female,Low,Medium,2,Sales Executive,Medium,Divorced,High,Low,1,No,Average,Excellent,High,3,7 to 10 years,2,Better,Over 9 years,Over 7 years,1 year,<= 2 years
339,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,Master,Marketing,Medium,Female,Average,High,2,Sales Executive,High,Married,High,Low,1,No,High,Excellent,Low,1,7 to 10 years,3,Better,6 to 9 years,4 to 7 years,None,4 to 7 years
340,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,College,Medical,Very High,Male,Average,High,2,Manufacturing Director,High,Divorced,High,Very High,7,No,High,Excellent,High,2,7 to 10 years,2,Good,6 to 9 years,<= 2 years,None,Over 7 years
341,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Life Sciences,High,Male,Very High,Medium,3,Research Director,Medium,Divorced,Very High,High,0,Yes,Average,Excellent,Medium,1,11 to 15 years,3,Better,Over 9 years,Over 7 years,2 to 3 years,Over 7 years
342,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Medical,High,Female,Low,High,3,Manufacturing Director,High,Single,High,Very High,1,Yes,Average,Excellent,High,0,11 to 15 years,2,Good,Over 9 years,Over 7 years,Over 3 years,Over 7 years
343,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,Below College,Marketing,Very High,Female,Low,Medium,2,Sales Executive,Medium,Divorced,High,Average,1,Yes,Average,Excellent,Low,2,7 to 10 years,2,Better,6 to 9 years,4 to 7 years,1 year,4 to 7 years
344,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Technical Degree,High,Male,Average,High,3,Manufacturing Director,High,Single,High,High,0,No,Average,Excellent,Very High,0,Over 15 years,5,Better,Over 9 years,4 to 7 years,None,Over 7 years
345,Young,No,Travel_Rarely,Very High,Research & Development,Very Long,Below College,Life Sciences,High,Male,High,High,1,Research Scientist,High,Divorced,Low,High,1,No,Low,Excellent,High,2,<= 6 years,2,Good,4 to 5 years,<= 2 years,None,<= 2 years
346,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Medical,Very High,Male,Very High,Medium,2,Manufacturing Director,Medium,Single,High,Average,6,Yes,High,Excellent,Very High,0,7 to 10 years,3,Better,4 to 5 years,4 to 7 years,1 year,<= 2 years
347,Middle-Age,No,Travel_Frequently,Very High,Sales,Normal,Below College,Medical,Medium,Male,Very High,High,2,Sales Representative,High,Single,Average,Very High,3,No,Very High,Excellent,Low,0,<= 6 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
348,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Doctor,Life Sciences,Low,Female,Low,High,4,Research Director,High,Single,Very High,High,2,No,Average,Excellent,Medium,0,Over 15 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
349,Middle-Age,No,Non-Travel,Very High,Sales,Short,Bachelor,Life Sciences,Very High,Male,Average,High,2,Sales Executive,High,Married,Average,High,1,No,Average,Excellent,Low,1,<= 6 years,3,Good,4 to 5 years,3 years,None,<= 2 years
350,Middle-Age,No,Travel_Rarely,Very High,Human Resources,Short,Below College,Technical Degree,High,Male,Average,High,1,Human Resources,High,Divorced,Low,Very High,0,Yes,Low,Excellent,High,1,<= 6 years,5,Better,<= 3 years,<= 2 years,1 year,<= 2 years
351,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Medical,High,Female,High,High,1,Laboratory Technician,High,Married,Low,Low,1,No,Average,Excellent,High,1,7 to 10 years,4,Better,6 to 9 years,<= 2 years,None,4 to 7 years
352,Middle-Age,No,Travel_Rarely,Very High,Sales,Very Long,Below College,Medical,Low,Female,Very High,High,3,Manager,High,Married,Very High,Very High,3,No,Very High,Outstanding,Medium,1,11 to 15 years,3,Bad,<= 3 years,<= 2 years,None,<= 2 years
353,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Medical,High,Male,Average,Very High,2,Research Scientist,Very High,Divorced,High,High,4,Yes,Average,Excellent,Low,2,11 to 15 years,2,Better,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
354,Middle-Age,No,Non-Travel,Very High,Sales,Very Long,College,Technical Degree,Very High,Female,Very High,High,2,Sales Executive,High,Married,Average,Low,7,Yes,Low,Excellent,Medium,1,<= 6 years,2,Best,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
355,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Bachelor,Life Sciences,High,Male,Average,High,2,Sales Executive,High,Married,High,High,1,No,High,Excellent,Medium,1,7 to 10 years,3,Better,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
356,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Other,Low,Male,Very High,Medium,2,Healthcare Representative,Medium,Single,High,High,3,No,Very High,Outstanding,Medium,0,11 to 15 years,6,Better,<= 3 years,<= 2 years,None,<= 2 years
357,Young,Yes,Travel_Frequently,Very High,Sales,Short,Below College,Technical Degree,Low,Female,Very High,Medium,1,Sales Representative,Medium,Single,Low,Average,1,Yes,Low,Excellent,High,0,<= 6 years,3,Better,<= 3 years,<= 2 years,1 year,<= 2 years
358,Middle-Age,No,Non-Travel,Very High,Sales,Short,Doctor,Medical,Very High,Female,Low,High,2,Sales Executive,High,Single,High,High,4,No,High,Excellent,Medium,0,7 to 10 years,6,Better,<= 3 years,<= 2 years,None,<= 2 years
359,Middle-Age,No,Travel_Frequently,Very High,Sales,Normal,Master,Medical,Low,Male,Low,Medium,3,Sales Executive,Medium,Married,Very High,Low,4,No,Low,Excellent,Low,1,Over 15 years,2,Better,Over 9 years,Over 7 years,1 year,Over 7 years
360,Old,No,Travel_Rarely,Very High,Research & Development,Short,Master,Medical,Very High,Male,Very High,High,2,Healthcare Representative,High,Married,High,Low,2,No,Low,Excellent,High,0,11 to 15 years,2,Better,<= 3 years,<= 2 years,1 year,<= 2 years
361,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,Very High,Female,Low,Very High,1,Laboratory Technician,Very High,Married,Low,Very High,3,Yes,Average,Excellent,High,1,7 to 10 years,3,Better,6 to 9 years,4 to 7 years,1 year,4 to 7 years
362,Young,No,Non-Travel,Very High,Sales,Long,College,Medical,Low,Male,Low,High,1,Sales Representative,High,Single,Low,Low,1,No,Very High,Outstanding,High,0,<= 6 years,3,Good,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
363,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Normal,Bachelor,Marketing,Very High,Female,Low,High,1,Sales Representative,High,Single,Low,Average,1,Yes,Average,Excellent,Medium,0,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
364,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Medical,High,Female,Very High,High,1,Laboratory Technician,High,Married,Average,High,6,No,Very High,Outstanding,Medium,1,Over 15 years,3,Better,4 to 5 years,4 to 7 years,None,3 years
365,Middle-Age,No,Non-Travel,Very High,Research & Development,Normal,Master,Medical,High,Female,Low,High,2,Manufacturing Director,High,Married,High,High,2,No,Average,Excellent,High,0,7 to 10 years,2,Best,<= 3 years,<= 2 years,None,<= 2 years
366,Middle-Age,Yes,Travel_Frequently,Very High,Sales,Normal,Bachelor,Marketing,Low,Male,Average,High,2,Sales Executive,High,Single,Very High,Average,1,No,High,Excellent,High,0,7 to 10 years,5,Better,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
367,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Technical Degree,Very High,Male,Very High,Medium,3,Healthcare Representative,Medium,Single,Very High,Low,6,No,High,Excellent,Very High,0,Over 15 years,2,Better,4 to 5 years,3 years,1 year,3 years
368,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Very Long,College,Marketing,High,Male,High,Medium,2,Sales Executive,Medium,Married,High,Low,2,Yes,Low,Excellent,Low,2,7 to 10 years,6,Better,6 to 9 years,4 to 7 years,1 year,<= 2 years
369,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,High,Male,Low,Medium,1,Research Scientist,Medium,Single,Low,Low,0,Yes,High,Excellent,Very High,0,<= 6 years,5,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
370,Young,Yes,Travel_Rarely,Very High,Sales,Long,Bachelor,Life Sciences,High,Female,Very High,Very High,1,Sales Representative,Very High,Single,Low,Very High,1,No,High,Excellent,Very High,0,<= 6 years,0,Better,<= 3 years,<= 2 years,None,<= 2 years
371,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Bachelor,Life Sciences,Very High,Male,Average,High,1,Research Scientist,High,Single,Low,High,9,No,High,Excellent,Very High,0,<= 6 years,4,Better,<= 3 years,<= 2 years,1 year,<= 2 years
372,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,High,Male,Very High,Medium,2,Healthcare Representative,Medium,Single,High,High,9,No,Very High,Excellent,High,0,7 to 10 years,5,Better,<= 3 years,<= 2 years,None,<= 2 years
373,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,College,Medical,Very High,Male,High,High,1,Laboratory Technician,High,Divorced,Average,High,1,No,Low,Excellent,Medium,1,<= 6 years,2,Better,4 to 5 years,<= 2 years,None,Over 7 years
374,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,Master,Life Sciences,Medium,Male,Very High,High,2,Sales Executive,High,Single,High,Very High,1,No,High,Excellent,Very High,0,7 to 10 years,1,Better,6 to 9 years,4 to 7 years,None,4 to 7 years
375,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Other,Medium,Male,Low,Medium,3,Healthcare Representative,Medium,Single,Very High,Average,8,No,Very High,Outstanding,High,0,Over 15 years,2,Better,4 to 5 years,<= 2 years,None,<= 2 years
376,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,College,Life Sciences,High,Female,Very High,High,2,Sales Executive,High,Married,High,High,4,No,Low,Excellent,High,1,Over 15 years,2,Good,6 to 9 years,4 to 7 years,None,4 to 7 years
377,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,Very High,Female,Very High,High,1,Research Scientist,High,Married,Low,Average,4,No,Average,Excellent,Medium,1,<= 6 years,3,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
378,Middle-Age,Yes,Non-Travel,Very High,Sales,Very Long,Bachelor,Marketing,Low,Male,High,Very High,2,Sales Executive,Very High,Single,High,Low,8,Yes,Average,Excellent,Medium,0,7 to 10 years,3,Good,4 to 5 years,<= 2 years,None,Over 7 years
379,Old,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,High,Female,Very High,High,4,Manager,High,Single,Very High,Very High,2,Yes,Average,Excellent,High,0,Over 15 years,2,Better,4 to 5 years,4 to 7 years,1 year,<= 2 years
380,Young,No,Travel_Rarely,Very High,Sales,Long,Master,Marketing,Very High,Female,High,High,2,Sales Executive,High,Divorced,Average,Low,1,Yes,Low,Excellent,Very High,1,<= 6 years,2,Best,4 to 5 years,<= 2 years,None,3 years
381,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Below College,Technical Degree,High,Male,High,High,1,Sales Representative,High,Married,Low,High,1,No,High,Excellent,Low,1,<= 6 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
382,Middle-Age,Yes,Travel_Frequently,Very High,Research & Development,Normal,Below College,Technical Degree,High,Male,High,High,1,Research Scientist,High,Single,Average,Low,0,No,Very High,Outstanding,High,0,7 to 10 years,2,Better,6 to 9 years,4 to 7 years,None,Over 7 years
383,Young,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Medical,Low,Female,Low,High,1,Research Scientist,High,Married,Low,Very High,1,No,Average,Excellent,Very High,1,<= 6 years,1,Better,<= 3 years,<= 2 years,1 year,<= 2 years
384,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,College,Medical,Medium,Male,Average,Medium,3,Sales Executive,Medium,Married,High,Low,1,No,Average,Excellent,Medium,2,7 to 10 years,2,Better,Over 9 years,Over 7 years,Over 3 years,<= 2 years
385,Middle-Age,Yes,Travel_Frequently,Very High,Research & Development,Normal,Bachelor,Technical Degree,High,Male,Low,High,1,Research Scientist,High,Single,Low,Low,9,Yes,Very High,Outstanding,High,0,<= 6 years,4,Better,<= 3 years,<= 2 years,None,<= 2 years
386,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Life Sciences,Very High,Female,Very High,High,1,Laboratory Technician,High,Divorced,Average,Very High,1,No,Low,Excellent,High,1,Over 15 years,2,Good,Over 9 years,4 to 7 years,Over 3 years,Over 7 years
387,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,College,Marketing,Very High,Female,Low,High,2,Sales Executive,High,Divorced,High,Very High,7,No,Low,Excellent,High,2,7 to 10 years,5,Better,4 to 5 years,4 to 7 years,1 year,3 years
388,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Master,Life Sciences,Medium,Female,Very High,High,1,Laboratory Technician,High,Divorced,Low,Very High,3,No,High,Excellent,Medium,1,7 to 10 years,5,Better,4 to 5 years,<= 2 years,1 year,<= 2 years
389,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Master,Life Sciences,High,Male,Average,High,2,Manufacturing Director,High,Single,Average,Very High,2,Yes,Low,Excellent,Very High,0,Over 15 years,2,Good,<= 3 years,<= 2 years,None,<= 2 years
390,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Long,Bachelor,Life Sciences,Low,Male,Average,Medium,4,Research Director,Medium,Divorced,Very High,Low,1,No,Low,Excellent,High,1,Over 15 years,3,Better,Over 9 years,Over 7 years,2 to 3 years,Over 7 years
